"","entidad","anio","acceso_electrd","acceso_combust_limpios","cap_instald_energ_renov","finan_paises_desarr","energ_renov","electrd_fosiles","electrd_nuclear","electrd_de_energ_renov","electrd_de_f_bajas_carb","consumo_energ_prim","nivel_intens_energ_prim","emisiones_CO2","renovables","crecimiento_PIB","PIB_per_cap","densidad_pobl_Km2","superficie","latitud","longitud"
"2059","Qatar",2000,100,100,0,NA,0.08,8.59,0,0,0,207755.62,8.92,28660,0,NA,29976.16763,248,11586,25.354826,51.183884
"2060","Qatar",2001,100,100,0,NA,0.14,9.35,0,0,0,189988.27,9.49,28650,0,3.898186662,28517.22084,248,11586,25.354826,51.183884
"2061","Qatar",2002,100,100,0,NA,0.07,10.28,0,0,0,199143.97,10.01,32500,0,7.18215168,30214.67042,248,11586,25.354826,51.183884
"2062","Qatar",2003,100,100,0,NA,0.05,11.29,0,0,0,217673.23,9.99,34740.00168,0,3.719958677,34517.60321,248,11586,25.354826,51.183884
"2063","Qatar",2004,100,100,0,NA,0.03,12.44,0,0,0,253062.6,9.88,37069.99969,0,19.21891534,42124.94084,248,11586,25.354826,51.183884
"2064","Qatar",2005,100,100,0,NA,0.03,13.53,0,0,0,262585.7,9.19,38540.00092,0,7.492758483,51455.95094,248,11586,25.354826,51.183884
"2065","Qatar",2006,100,100,0,NA,0.1,16.06,0,0,0,230796,8.56,43770.00046,0,26.17024567,59530.561,248,11586,25.354826,51.183884
"2066","Qatar",2007,100,100,0,NA,0.07,18.29,0,0,0,207280.52,8.2,49830.00183,0,17.98565682,65421.37692,248,11586,25.354826,51.183884
"2067","Qatar",2008,100,100,0,NA,0.11,20.32,0,0,0,196001,7.16,53040.00092,0,17.66355636,80234.19083,248,11586,25.354826,51.183884
"2068","Qatar",2009,100,100,0,NA,0.08,22.71,0,0,0,178237.72,6.82,54069.99969,0,11.95656113,59094.65918,248,11586,25.354826,51.183884
"2069","Qatar",2010,100,100,0,NA,0.13,26.46,0,0,0,194843.92,6.38,60580.00183,0,19.59233153,67403.08768,248,11586,25.354826,51.183884
"2070","Qatar",2011,100,100,18.99,NA,0.15,28.87,0,0.01,0.03462604,216384.27,5.3,68190.00244,0.09460041,13.37517641,82409.94165,248,11586,25.354826,51.183884
"2071","Qatar",2012,100,100,17.61,NA,0.04,32.7,0,0.01,0.030571692,232316.58,6.97,75080.00183,0.08342207,4.730011844,85075.98654,248,11586,25.354826,51.183884
"2072","Qatar",2013,100,100,17.24,NA,0.04,32.65,0,0.01,0.030618494,236185.81,7.05,76169.99817,0.07836199,5.556040643,85050.68434,248,11586,25.354826,51.183884
"2073","Qatar",2014,100,100,17.07,NA,0.05,36.46,0,0.02,0.05482456,234538.38,6.6,81660.00366,0.07397567,5.334323292,83858.34046,248,11586,25.354826,51.183884
"2074","Qatar",2015,100,100,16.36,NA,0.05,39.11,0,0.03,0.07664793,245271.83,6.32,84779.99878,0.06486393,4.753345724,63039.11263,248,11586,25.354826,51.183884
"2075","Qatar",2016,100,100,16.24,NA,0.06,39.88,0,0.03,0.07516913,223248.58,5.88,86919.99817,0.06714397,3.064191884,57162.96801,248,11586,25.354826,51.183884
"2076","Qatar",2017,100,100,15.82,NA,0.07,42.94,0,0.03,0.06981615,206889.17,6.8,87540.00092,0.06931601,-1.497604702,59124.86727,248,11586,25.354826,51.183884
"2077","Qatar",2018,100,100,15.49,NA,0.05,45.16,0,0.02,0.044267375,202570.3,6.46,86419.99817,0.06936814,1.234872202,65907.94844,248,11586,25.354826,51.183884
"2078","Qatar",2019,100,100,15.22,NA,0.04,46.98,0,0.03,0.06381621,208021.3,6.79,91970.00122,0.06641917,0.68824096,62276.42869,248,11586,25.354826,51.183884
"2079","Qatar",2020,100,100,14.96,NA,NA,44.63,0,0.02,0.04479283,184074.56,NA,NA,0.07569663,-3.557603999,50124.38594,248,11586,25.354826,51.183884
"2542","United Arab Emirates",2000,100,100,0,NA,0.08,37.54,0,0,0,163580.66,4.08,84730,0,10.85270421,33291.36625,118,83600,23.424076,53.847818
"2543","United Arab Emirates",2001,100,100,0,NA,0.06,40.58,0,0,0,156784.6,5.6,97200,0,1.39908503,31280.75586,118,83600,23.424076,53.847818
"2544","United Arab Emirates",2002,100,100,0,NA,0.07,44.04,0,0,0,162836.45,5.4,99150.00153,0,2.43345681,31567.54631,118,83600,23.424076,53.847818
"2545","United Arab Emirates",2003,100,100,0,NA,0.07,46.48,0,0,0,165507.6,4.88,103819.9997,0,8.800540815,33499.10278,118,83600,23.424076,53.847818
"2546","United Arab Emirates",2004,100,100,0,NA,0.1,49.27,0,0,0,169047.55,4.4,110010.0021,0,9.566436637,36333.18733,118,83600,23.424076,53.847818
"2547","United Arab Emirates",2005,100,100,0,NA,0.11,57.05,0,0,0,164587.45,4.47,116459.9991,0,4.855141196,39365.45964,118,83600,23.424076,53.847818
"2548","United Arab Emirates",2006,100,100,0,NA,0.12,62.76,0,0,0,151316.52,4.23,121559.9976,0,9.837319773,41907.42147,118,83600,23.424076,53.847818
"2549","United Arab Emirates",2007,100,100,0,NA,0.11,74.03,0,0,0,139351.47,4.45,131830.0018,0,3.184390174,41809.46216,118,83600,23.424076,53.847818
"2550","United Arab Emirates",2008,100,100,0,NA,0.11,77.06,0,0,0,134274.22,5.1,156050.0031,0,3.191836276,44498.94051,118,83600,23.424076,53.847818
"2551","United Arab Emirates",2009,100,100,1.27,NA,0.11,82.9,0,0.01,0.012061271,115803.19,5.76,157020.0043,0.001917726,-5.242921907,32024.19778,118,83600,23.424076,53.847818
"2552","United Arab Emirates",2010,100,100,1.27,NA,0.11,88.31,0,0.02,0.022642363,114656.625,5.48,162789.9933,0.005258371,1.602850048,33893.26387,118,83600,23.424076,53.847818
"2553","United Arab Emirates",2011,100,100,1.42,NA,0.11,93.19,0,0.03,0.032181934,119056.13,5.03,165600.0061,0.005592252,6.928508599,39194.67224,118,83600,23.424076,53.847818
"2554","United Arab Emirates",2012,100,100,1.45,NA,0.1,99.83,0,0.02,0.020030046,123958.766,5.11,175589.9963,0.006188438,4.483791985,40976.49075,118,83600,23.424076,53.847818
"2555","United Arab Emirates",2013,100,100,13.88,NA,0.1,103.33,0,0.08,0.077361956,129486.234,5.13,184470.0012,0.020930015,5.053077855,42412.6395,118,83600,23.424076,53.847818
"2556","United Arab Emirates",2014,100,100,14.75,NA,0.14,109.26,0,0.31,0.28292415,127985.82,5.4,184759.9945,0.07691704,4.41008526,43751.80565,118,83600,23.424076,53.847818
"2557","United Arab Emirates",2015,100,100,14.71,NA,0.13,119.45,0,0.31,0.25885102,137896.34,5.56,195240.0055,0.06952883,5.060334864,38663.4005,118,83600,23.424076,53.847818
